,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,google_id,book_language,categories,description
93,8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,2001,Distribooks,R0tCnwEACAAJ,es,"Baggins, Frodo (Fictitious character)","Reveals natural and effective healing techniques, presents the case stories of seemingly hopeless animal patients, and explains how to stock a homeopathic medicine chest"
94,0679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,1994,Random House,jWN2rbkrVV4C,en,History,"Killed in a tragic accident, Eddie, an elderly man who believes that he had an uninspired life, awakens in the afterlife, where he discovers that heaven consists of having five people explain the meaning of one's life."
95,0671867156,Pretend You Don't See Her,Mary Higgins Clark,1998,Pocket,uf-3AL4tDFgC,en,Fiction,"Tu nombre escrito en el agua ganó el XVII Premio La sonrisa vertical . Su autora, que firma con el seudónimo de Irene González Frei , acogiéndose a las bases del premio, ha decidido mantener el anonimato. El fallo del jurado, por primera vez en la historia de este premio, fue unánime. Y no es para menos, ya que nos encontramos ante una primera novela que no sólo introduce a sus lectores en una hermosa y densa fantasía erótica, sino que les revela a una auténtica escritora. Irene González Frei dedica su novela a Marina , «de todos los personajes de esta historia el único cuyo nombre no he tenido el valor de cambiar», y cede la palabra a Sofía para que sea ella la que nos cuente, desde el recuerdo, «ese amor vertiginoso entre las grietas del dolor y el desconsuelo» que las unirá para siempre y fundirá sus cuerpos, más allá del tenue cristal de los espejos, en el reflejo de Narciso. Sofía , una joven al parecer como tantas otras, vive en Madrid en el seno de un grupo de amigos que comparten inquietudes y amores. Tras el matrimonio con Santiago, cuyas relaciones sexuales se extreman en la violencia a medida que el tiempo va corroyendo el afecto y las apetencias, Sofía , desencantada y triste, encuentra un día a Marina . Entre las dos se establece instantáneamente una atracción singular, casi mágica. Emprenden un viaje por Italia con destino a Roma, donde a Marina le espera un trabajo en una organización internacional. Poco a poco, de manera irresistible, el lector irá impregnándose de la progresiva compenetración de las dos mujeres, de la gradual fusión de sus cuerpos hasta el punto de que ya no parecen sino una sola. Visiones, sueños, episodios premonitorios van, sin embargo, recordándole que Marina sólo vive ya en la memoria de Sofía y que una amenaza se cierne sobre ellas. . . La crudeza con que Irene González Frei nos sumerge en los distintos encuentros sexuales no sólo de las dos mujeres, sino los de ellas con otros personajes, que sirven de contrapunto, invitando al lector a participar directamente de sus tensiones y violencias, de sus goces y delirios, no merma en momento alguno el tono poético que envuelve toda la novela y que le otorga la inestimable facultad de dejar una huella indeleble en quienes la leen."
96,0312252617,Fast Women,Jennifer Crusie,2001,St. Martin's Press,F4UDC_QrW58C,en,Fiction,"The starship Enterprise rescues Captain Montgomery Scott, who has been missing in space for seventy-five years and finds that the world has changed beyond his recognition"
97,0312261594,Female Intelligence,Jane Heller,2001,St. Martin's Press,bZdSPgAACAAJ,en,Fiction,"The neglected attendees of the Box Canyon Boys Camp find their lives turned around by Cotton, who, in a hot-wired pickup, challenges them to join efforts to save a herd of buffalo and rediscover themselves in the process. Reissue."
98,0316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,2002,Back Bay Books,I3s5PwAACAAJ,en,Biography & Autobiography,"When conflicts between rivaling cultures aboard Babylon 5 escalate to riotous proportions, security chief Garibaldi discovers a link between a station-wide epidemic in nightmares and a strange alien presence. Original."
99,0316973742,The Gospel of Judas: A Novel,Simon Mawer,2002,Back Bay Books,8axQewAACAAJ,en,Fiction,"Peter Houston's journey to France to visit the grave of his father, killed in 1944, becomes a nightmare of murder, revenge, deception, and betrayal"
101,0446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,2000,Warner Books,BcWBoKTPPA0C,en,BUSINESS & ECONOMICS,NaN
102,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book,tjSjBrVgUjoC,en,Fiction,NaN
103,0553347594,McDonald's: Behind the Arches,John F. Love,1995,Bantam,A0bVh37jqOUC,en,Business & Economics,NaN
104,0671621009,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,Robert G. Allen,1986,Fireside,GnnWCWMoIX8C,en,Business & Economics,NaN
105,067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,1995,Vintage,zqpAK-lRNP8C,en,Fiction,NaN
106,0684822733,"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans",Pam Proctor,1996,Fireside,BGcIAAAACAAJ,en,Technology & Engineering,NaN
107,0786868716,The Five People You Meet in Heaven,Mitch Albom,2003,Hyperion,3kpjAAAAMAAJ,en,Fiction,NaN
108,8472238822,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),Irene Gonzalez Frei,2002,Tusquets,VRseAQAAIAAJ,es,Fiction,NaN
109,0671864769,Relics (Star Trek: The Next Generation),Michael Jan Friedman,1992,Star Trek,Co2hkXeLEUcC,en,Fiction,NaN
110,0671521519,Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,1995,Pocket,VcXRUuWbkqgC,en,Fiction,NaN
111,0440222303,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",Neal Barrett Jr.,1996,Dell,W1cHAAAACAAJ,en,Fiction,NaN
112,0312953453,Blood Oath,David Morrell,1994,St. Martin's Press,LcJn0FoVmeEC,en,Fiction,NaN
